Title
"스타트업 CEO를 위한, 혹은 CEO를 이해해 보기 좋은 책 <하드씽>"
[가벼운 책 리뷰]- 인트로
<텀블러로 지구를 구한다는 농담>을 읽고
"이슬아, <부지런한 사랑>"
사람이 나무도 아닌데
""
쇼펜하우어 행복론 2장
"""완벽한 날들"" 메리 올리버"
by 알베르 카뮈
""
'시인의 책상' 리뷰
히가시노 게이고 <블랙 쇼맨과 환상의 여자>
"정여울, <그때, 나에게 미처 하지 못한 말>"
한강
책 <가정교사들>을 추천하며
""
"내가 좋아하는 것들, 쓰기(저 김재용)"
러일전쟁 - 와다 하루키(한길사) ●●●●●●●●◐○
"『우리 대화는 밤새도록 끝이 없지』- 허휘수, 서솔, 상상 출판"
"『불안할 땐 뇌과학』- 캐서린 피트먼, 엘리자베스 칼. 현대지성"
그림책 리뷰
동해선에서 읽은 책 61
Jane Kallir
""
""
'디자이너 생각위를 걷다'에서 느끼는 사업가의 삶의 지혜
Feat. 부부가 둘 다 놀고 있습니다
도파민네이션과 최선의 고통을 읽고
"집이라는 모험, 신순화"
"1차원이 되고 싶어, 박상영"
"나는 단순하게 살기로 했다, 사사키 후미오"
by 스콧 피츠제럴드
'더티 워크'를 읽고 (소원책담 독서모임 - 담쟁이 독서회)
숏 컷 - 레이먼드 카버(집사재) ●●●●●●●◐○○
최초의 직업 프로그래머는 여자라는 사실
"가난해지지 않는 마음, 양다솔"
"고슴도치 엑스, 노인경"
"대도시의 사랑법, 박상영"
러셀 로버츠 <결심이 필요한 순간들>
"매 순간 흔들려도 매일 우아하게, 곽아람"
"당신이 집에서 논다는 거짓말, 정아은"
"자기 결정, 페터 비에리"
"오티움, 문요한"
"엄마의 독서, 정아은"
""
<코스모스> 1장
2023.08.28~09.03
나도 읽어본 소설 덕후들의 pick
"오늘 일로 회의감에 느꼈을 당신에게 건네는 질문, ""일이란 무엇인가?'"
"가장 행복한 곳으로, 정빛그림"
아모스 오즈
이것은 라울 뒤피에 관한 이야기
최장순
암 병동 - 알렉산드르 솔제니친(민음사)  ●●●●●●●●○○
호르헤 루이스 보르헤스
<천문대의 시간 천문학자의 하늘> / 전영범
무슨 책 읽을까 7편
인생의 격을 높이고 현자의 치를 터득하다
의뢰인은 죽었다 - 와카타케 나나미(북폴리오)  ●●●●●●●●●◐
[소설 추천] 구의 증명 | 최진영
"정대건, 임현석 외, 『혹시 MBTI가 어떻게 되세요?』"
에밀 아자르
어린이의 여행법 - 이지나
""
책 ㅣ 책소개 ㅣ 책리뷰 ㅣ 독후감 ㅣ 도서 ㅣ 도서추천 ㅣ 독립출판
존 워너커 엮음
"로리 오코너 저, 정지호 역,『마지막 끈을 놓기 전에』, 심심, 2023"
""
"이선주, 『태구는 이웃들이 궁금하다』, 주니어RHK, 2023"
"테드 창의 SF 소설, '외모 지상주의에 대한 소고: 다큐멘터리'"
by 실비아 플라스
소설 <파리대왕>의 등장인물 탐구
[나목] 박완서
책 <사라진 개발자들>을 읽고
""
백승만 작가의 <분자 조각가들>을 읽고
이서수 <젊은 근희의 행진>
to kill a mocking bird 를 읽고
『물고기는 존재하지 않는다』를 읽고
by 데이비드 포스터 월리스
